Fighter_Name,Stance,DOB,Wins,Losses,Draws,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,Height_in,Reach_in,Weight_lbs,Ape_Index,Weight_Class
Ronal Siahaan,Southpaw,1996-05-05,7,1,0,0.63,0.66,6.17,0.25,0.0,0.0,0.25,0.0,67,71.0,125.0,4.0,Flyweight
Sam Sicilia,Orthodox,1986-02-01,15,8,0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9,68,67.0,145.0,-1.0,Featherweight
Serhiy Sidey,Switch,1996-07-04,12,2,0,4.49,0.39,4.26,0.54,1.58,0.25,0.2,1.3,71,72.0,135.0,1.0,Bantamweight
Steven Siler,Orthodox,1987-02-15,29,16,0,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6,71,70.0,145.0,-1.0,Featherweight
Anderson Silva,Southpaw,1975-04-14,34,11,0,3.05,0.61,2.05,0.6,0.5,0.77,0.69,0.8,74,77.0,185.0,3.0,Middleweight
Wanderlei Silva,Orthodox,1976-07-03,35,13,1,2.79,0.4,2.19,0.6,0.97,0.53,0.62,0.6,71,74.0,205.0,3.0,Light Heavyweight
Thiago Silva,Orthodox,1982-11-12,19,6,0,3.92,0.5,2.55,0.67,1.03,0.47,0.7,0.7,74,74.0,205.0,0.0,Light Heavyweight
Antonio Silva,Orthodox,1979-09-14,19,12,1,2.89,0.45,3.09,0.5,0.82,0.29,0.66,0.8,76,82.0,264.0,6.0,Heavyweight
Erick Silva,Orthodox,1984-06-21,19,9,0,2.5,0.48,4.18,0.49,0.85,0.35,0.56,1.4,72,74.0,170.0,2.0,Welterweight
Leandro Silva,Orthodox,1985-11-11,20,6,1,2.39,0.48,2.08,0.63,1.76,0.37,0.65,0.4,69,72.0,155.0,3.0,Lightweight
Claudio Silva,Southpaw,1982-09-06,14,4,0,2.48,0.42,3.0,0.46,2.85,0.26,0.44,1.1,71,71.0,170.0,0.0,Welterweight
Joaquim Silva,Southpaw,1989-02-05,14,6,0,3.43,0.43,4.17,0.53,0.34,0.5,0.7,0.8,68,69.0,155.0,1.0,Lightweight
Felipe Silva,Orthodox,1984-05-08,8,2,0,5.4,0.5,1.8,0.59,1.0,1.0,0.71,0.0,72,77.0,155.0,5.0,Lightweight
Bruno Silva,Orthodox,1990-03-16,15,7,2,3.82,0.5,4.55,0.52,2.3,0.29,0.63,0.3,64,65.0,125.0,1.0,Flyweight
Bruno Silva,Orthodox,1989-07-13,23,13,0,3.86,0.48,5.35,0.41,0.77,0.22,0.74,0.0,72,74.0,185.0,2.0,Middleweight
Gabriel Silva,Orthodox,1994-08-26,8,2,0,1.3,0.34,3.47,0.45,1.5,0.25,0.38,0.5,66,71.0,135.0,5.0,Bantamweight
Jacob Silva,Orthodox,1988-02-23,6,4,0,4.17,0.44,4.92,0.56,1.51,1.0,0.66,0.0,65,67.0,125.0,2.0,Flyweight
Natalia Silva,Southpaw,1997-02-03,20,5,1,4.81,0.45,2.36,0.66,0.43,0.3,0.9,0.0,64,65.0,125.0,1.0,Flyweight
Jansey Silva,Orthodox,1995-05-30,7,2,0,0.46,0.4,2.32,0.33,0.0,0.0,0.0,0.0,74,67.0,185.0,-7.0,Middleweight
Maria Silva,Orthodox,1995-12-19,8,1,0,3.0,0.57,1.13,0.62,2.0,1.0,0.55,0.5,63,64.0,115.0,1.0,Flyweight
Karine Silva,Orthodox,1993-12-02,19,6,0,2.48,0.39,3.04,0.48,2.3,0.5,0.21,1.5,65,67.0,125.0,2.0,Flyweight
Erik Silva,Orthodox,1987-03-16,9,4,0,2.06,0.67,1.52,0.4,3.26,0.8,0.6,0.0,69,71.0,145.0,2.0,Featherweight
Janaina Silva,Orthodox,1992-02-16,5,1,0,0.0,0.0,1.5,0.62,0.0,0.0,0.0,0.0,61,60.0,115.0,-1.0,Flyweight
Jhonata Silva,Orthodox,1997-04-24,8,2,0,4.86,0.52,9.85,0.44,0.0,0.0,0.0,0.0,65,66.0,125.0,1.0,Flyweight
Jean Silva,Orthodox,1996-12-27,17,3,0,4.82,0.51,4.5,0.53,1.2,0.6,0.78,0.6,67,69.0,145.0,2.0,Featherweight
Danny Silva,Switch,1997-01-30,10,2,0,6.67,0.55,7.47,0.61,2.0,0.33,0.81,0.2,71,70.0,145.0,-1.0,Featherweight
Samuel Silva,Orthodox,1996-01-02,13,5,1,2.58,0.27,8.61,0.37,0.0,0.0,0.0,0.0,72,72.0,155.0,0.0,Lightweight
Douglas Silva de Andrade,Orthodox,1985-06-22,29,7,0,3.54,0.38,4.09,0.56,0.54,0.42,0.71,0.2,67,68.0,145.0,1.0,Featherweight
Elias Silverio,Orthodox,1986-09-22,13,3,0,3.67,0.49,2.97,0.51,1.62,0.38,0.85,0.2,71,73.0,155.0,2.0,Lightweight
Sim Kai Xiong,Orthodox,1997-09-06,7,2,0,2.85,0.42,3.64,0.55,3.49,0.25,1.0,0.0,66,67.0,135.0,1.0,Bantamweight
Jamey Simmons,Orthodox,1992-09-11,7,4,0,0.79,0.21,1.92,0.74,0.0,0.0,0.5,0.0,66,70.0,135.0,4.0,Bantamweight
Ricky Simon,Orthodox,1992-08-31,22,7,0,3.04,0.43,3.85,0.61,4.66,0.41,0.76,0.3,66,69.0,135.0,3.0,Bantamweight
Aaron Simpson,Orthodox,1974-07-20,12,5,0,3.6,0.52,2.53,0.56,3.78,0.34,0.83,0.5,72,73.0,170.0,1.0,Welterweight
Tony Sims,Southpaw,1985-10-14,12,4,0,1.81,0.63,0.76,0.65,0.71,0.5,0.5,0.7,71,70.0,155.0,-1.0,Lightweight
Everett Sims,Southpaw,1988-09-04,4,1,0,0.81,0.66,2.19,0.3,0.0,0.0,0.42,1.2,77,77.0,260.0,0.0,Heavyweight
Rory Singer,Orthodox,1976-05-28,11,9,0,2.55,0.39,2.42,0.63,0.39,0.25,0.64,0.8,74,77.0,185.0,3.0,Middleweight
Rana Rudra Pratap Singh,Orthodox,1997-05-09,11,2,0,0.0,0.0,9.05,0.27,0.0,0.0,0.0,0.0,70,69.0,135.0,-1.0,Bantamweight
Kiran Singh,Orthodox,2000-07-25,7,4,0,0.0,0.0,19.51,0.23,0.0,0.0,0.0,0.0,61,65.0,115.0,4.0,Flyweight
Elvis Sinosic,Orthodox,1971-02-13,7,11,2,1.13,0.37,4.6,0.53,0.0,0.0,0.0,1.2,75,77.0,205.0,2.0,Light Heavyweight
Gian Siqueira,Orthodox,1994-06-23,19,5,0,0.8,1.0,3.41,0.19,0.0,0.0,0.0,0.0,73,74.0,170.0,1.0,Welterweight
Jeremia Siregar,Orthodox,1991-07-27,6,3,0,2.8,0.42,7.37,0.29,0.0,0.0,0.75,0.0,62,63.0,125.0,1.0,Flyweight
Dennis Siver,Orthodox,1979-01-13,23,11,0,3.87,0.32,2.67,0.65,0.87,0.32,0.65,0.3,66,70.0,145.0,4.0,Featherweight
Chas Skelly,Orthodox,1985-05-11,19,3,0,2.01,0.4,3.21,0.49,1.74,0.34,0.39,2.3,71,72.0,145.0,1.0,Featherweight
Scott Smith,Orthodox,1979-05-21,18,11,0,1.9,0.27,5.87,0.5,0.12,0.06,0.58,0.5,72,70.0,185.0,-2.0,Middleweight
Trevor Smith,Orthodox,1981-01-05,15,10,0,3.29,0.55,3.31,0.51,1.7,0.32,0.6,0.7,75,75.0,185.0,0.0,Middleweight
Anthony Smith,Orthodox,1988-07-26,38,22,0,3.19,0.49,5.04,0.44,0.44,0.22,0.5,0.6,76,76.0,205.0,0.0,Light Heavyweight
Colton Smith,Orthodox,1987-08-14,7,4,0,1.64,0.41,2.3,0.51,4.09,0.36,0.25,1.4,72,71.0,155.0,-1.0,Lightweight
Leslie Smith,Orthodox,1982-08-17,10,7,1,7.56,0.4,8.41,0.51,0.0,0.0,0.62,0.0,69,66.0,135.0,-3.0,Bantamweight
Devonte Smith,Orthodox,1993-07-30,11,4,0,4.55,0.53,3.91,0.49,0.35,0.25,0.85,0.3,69,76.0,155.0,7.0,Lightweight
Cole Smith,Orthodox,1989-04-05,7,2,0,1.78,0.35,1.96,0.49,1.67,0.33,0.45,1.7,71,67.0,135.0,-4.0,Bantamweight
Nate Smith,Switch,1995-04-09,6,1,0,1.28,0.38,2.04,0.35,0.0,0.0,0.33,2.3,66,69.0,125.0,3.0,Flyweight
Braxton Smith,Orthodox,1990-01-01,5,2,0,6.46,0.48,11.54,0.32,0.0,0.0,1.0,0.0,71,72.0,257.0,1.0,Heavyweight
Elijah Smith,Orthodox,2002-09-05,9,1,0,4.45,0.47,3.4,0.47,3.51,0.53,0.57,0.9,69,71.0,135.0,2.0,Bantamweight
Jacobe Smith,Southpaw,1996-01-17,12,0,0,6.89,0.67,2.78,0.47,7.78,0.91,1.0,0.7,70,72.0,170.0,2.0,Welterweight
Dmitrii Smoliakov,Switch,1982-08-05,9,3,0,1.44,0.42,3.81,0.55,0.0,0.0,0.75,0.0,74,74.0,253.0,0.0,Heavyweight
Louis Smolka,Orthodox,1991-07-16,17,9,0,4.67,0.47,4.11,0.53,1.69,0.35,0.32,1.8,69,68.0,135.0,-1.0,Bantamweight
Cameron Smotherman,Orthodox,1997-09-17,12,6,0,4.07,0.37,3.52,0.58,0.0,0.0,0.62,0.0,69,69.0,135.0,0.0,Bantamweight
Shimon Smotritsky,Orthodox,2000-08-22,8,2,0,3.52,0.34,8.67,0.56,3.52,0.33,0.5,0.0,74,74.0,170.0,0.0,Welterweight
Richie Smullen,Orthodox,1991-08-17,3,1,1,1.98,0.77,2.26,0.65,8.49,0.66,0.0,0.0,69,68.0,155.0,-1.0,Lightweight
Devin Smyth,Switch,1995-07-21,4,2,0,2.6,0.68,6.73,0.25,4.0,0.26,1.0,0.0,70,72.0,170.0,2.0,Welterweight
Peter Sobotta,Southpaw,1987-01-11,17,7,1,2.14,0.4,2.9,0.58,1.53,0.32,0.77,0.5,72,75.0,170.0,3.0,Welterweight
Renato Sobral,Orthodox,1975-09-07,37,11,0,2.23,0.45,1.53,0.57,2.48,0.42,0.65,2.6,73,75.0,205.0,2.0,Light Heavyweight
Rameau Thierry Sokoudjou,Orthodox,1984-04-18,18,18,0,2.26,0.45,2.61,0.56,1.93,0.47,0.78,0.9,70,78.0,205.0,8.0,Light Heavyweight
Axel Sola,Southpaw,1997-09-17,11,0,1,3.74,0.42,2.74,0.75,1.25,0.25,0.0,0.0,74,74.0,155.0,0.0,Lightweight
Alexander Soldatkin,Orthodox,1993-06-10,14,4,0,1.16,0.6,1.35,0.26,1.45,0.5,0.5,0.0,74,75.0,250.0,1.0,Heavyweight
Joe Solecki,Orthodox,1993-08-27,13,6,0,1.97,0.53,1.85,0.5,2.06,0.48,0.14,1.4,69,70.0,155.0,1.0,Lightweight
Song Kenan,Orthodox,1990-03-10,22,9,0,4.49,0.46,5.82,0.51,0.42,0.3,0.73,0.0,72,71.0,170.0,-1.0,Welterweight
Song Yadong,Orthodox,1997-12-02,22,9,1,4.42,0.43,3.94,0.55,0.78,0.39,0.73,0.1,68,67.0,135.0,-1.0,Bantamweight
YoungJae Song,Orthodox,1996-01-03,6,1,1,3.33,0.58,2.33,0.55,0.0,0.0,0.45,0.0,67,70.0,145.0,3.0,Featherweight
Emrah Sonmez,Orthodox,1992-06-26,14,5,0,1.47,0.46,1.73,0.48,5.0,0.21,0.0,0.0,70,71.0,145.0,1.0,Featherweight
Chael Sonnen,Southpaw,1977-04-03,29,15,1,3.08,0.43,1.1,0.62,3.81,0.59,0.66,0.4,73,73.0,205.0,0.0,Light Heavyweight
Jin Soo Son,Orthodox,1993-04-01,9,4,0,5.1,0.36,7.63,0.52,1.5,0.25,1.0,0.0,66,69.0,135.0,3.0,Bantamweight
Benardo Sopaj,Orthodox,2000-09-25,12,3,0,4.24,0.56,4.88,0.49,2.53,0.71,0.76,0.0,66,66.0,135.0,0.0,Bantamweight
Sean Soriano,Orthodox,1989-10-06,14,8,0,3.18,0.61,2.14,0.56,1.33,0.55,0.52,0.0,69,70.0,145.0,1.0,Featherweight
Punahele Soriano,Southpaw,1992-11-22,13,4,0,4.42,0.53,3.31,0.47,1.97,0.51,0.48,0.1,71,72.0,170.0,1.0,Welterweight
Hecher Sosa,Orthodox,1995-08-25,14,1,0,2.13,0.5,0.87,0.55,4.0,0.36,1.0,2.0,69,70.0,135.0,1.0,Bantamweight
Dmitry Sosnovskiy,Orthodox,1989-07-06,11,0,0,2.95,0.7,2.53,0.35,3.16,0.66,1.0,3.2,75,77.0,240.0,2.0,Heavyweight
Ben Sosoli,Southpaw,1989-12-10,7,3,0,2.31,0.31,4.3,0.47,0.0,0.0,0.0,0.0,72,72.0,265.0,0.0,Heavyweight
Krzysztof Soszynski,Open Stance,1977-08-02,26,12,1,3.37,0.39,3.13,0.58,0.52,0.25,0.71,1.0,73,77.0,205.0,4.0,Light Heavyweight
George Sotiropoulos,Orthodox,1977-07-09,14,7,0,2.61,0.27,2.52,0.67,2.32,0.31,0.53,1.6,70,71.0,155.0,1.0,Lightweight
Greg Soto,Orthodox,1986-06-03,9,4,0,3.21,0.63,2.61,0.52,1.49,0.27,0.44,1.0,71,73.0,170.0,2.0,Welterweight
Joe Soto,Orthodox,1987-03-22,18,7,0,3.36,0.41,5.37,0.67,0.85,0.21,0.7,1.9,66,65.0,135.0,-1.0,Bantamweight
Andre Soukhamthath,Orthodox,1988-10-23,13,8,0,2.77,0.44,4.31,0.49,1.25,0.53,0.58,0.2,69,70.0,135.0,1.0,Bantamweight
Mario Sousa,Orthodox,1996-10-20,15,3,0,2.82,0.5,2.99,0.28,0.52,0.25,0.37,0.5,75,79.0,185.0,4.0,Middleweight
Manoel Sousa,Orthodox,1997-06-04,13,1,0,3.23,0.58,1.31,0.55,0.0,0.0,0.62,2.3,69,70.0,155.0,1.0,Lightweight
Jacare Souza,Orthodox,1979-12-07,26,10,0,2.53,0.47,2.83,0.62,2.57,0.39,0.57,1.3,73,72.0,185.0,-1.0,Middleweight
Edimilson Souza,Orthodox,1984-10-17,15,5,0,4.65,0.44,2.91,0.58,0.0,0.0,0.5,0.0,72,74.0,145.0,2.0,Featherweight
Livinha Souza,Orthodox,1991-03-11,14,4,0,1.75,0.45,3.6,0.56,2.54,0.45,0.4,1.4,63,63.0,115.0,0.0,Flyweight
Bruno Souza,Orthodox,1996-03-07,10,3,0,3.73,0.39,5.3,0.45,0.5,0.16,0.6,0.0,70,70.0,145.0,0.0,Featherweight
Ketlen Souza,Orthodox,1994-08-18,16,6,0,4.01,0.56,3.86,0.52,0.46,0.13,0.53,0.2,63,63.0,115.0,0.0,Flyweight
Heraldo Souza,Orthodox,1994-12-15,9,2,1,1.62,0.33,1.62,0.5,0.0,0.0,0.0,0.0,71,73.0,185.0,2.0,Middleweight
Ryan Spann,Orthodox,1991-08-24,23,11,0,3.19,0.39,4.14,0.43,1.3,0.34,0.52,1.8,77,79.0,205.0,2.0,Light Heavyweight
Tommy Speer,Orthodox,1984-08-20,21,7,0,2.56,0.51,5.12,0.35,2.02,0.33,0.33,0.0,70,71.0,170.0,1.0,Welterweight
Sean Spencer,Orthodox,1987-06-25,12,6,0,4.24,0.32,4.02,0.6,0.14,0.33,0.68,0.0,70,74.0,170.0,4.0,Welterweight
Felicia Spencer,Orthodox,1990-11-29,9,3,0,3.21,0.48,4.54,0.45,1.18,0.18,0.27,0.2,66,68.0,145.0,2.0,Featherweight
Eric Spicely,Orthodox,1986-09-29,12,6,0,3.71,0.45,5.72,0.55,1.31,0.2,0.75,1.0,73,73.0,185.0,0.0,Middleweight
Daniel Spitz,Orthodox,1990-07-31,6,3,0,2.6,0.35,5.3,0.46,0.74,0.66,0.0,0.0,79,82.0,245.0,3.0,Heavyweight
Serghei Spivac,Orthodox,1995-01-24,18,6,0,3.57,0.47,4.23,0.52,3.82,0.59,0.63,0.5,75,78.0,260.0,3.0,Heavyweight
Daniel Spohn,Southpaw,1984-10-12,15,6,0,2.42,0.49,1.6,0.53,0.0,0.0,0.28,2.5,76,79.0,205.0,3.0,Light Heavyweight
Austin Springer,Orthodox,1987-05-12,12,4,0,3.54,0.57,3.15,0.41,3.37,0.4,1.0,0.8,68,71.0,145.0,3.0,Featherweight
Georges St-Pierre,Orthodox,1981-05-19,26,2,0,3.78,0.53,1.4,0.72,4.16,0.74,0.83,1.1,71,76.0,185.0,5.0,Middleweight
Ron Stallings,Southpaw,1983-01-25,14,8,0,3.22,0.6,3.26,0.51,0.0,0.0,0.71,0.0,74,75.0,170.0,1.0,Welterweight
Cody Stamann,Orthodox,1989-11-09,21,8,1,4.32,0.46,3.91,0.6,2.17,0.37,0.76,0.0,66,64.0,135.0,-2.0,Bantamweight
Brian Stann,Orthodox,1980-09-24,12,6,0,3.28,0.42,2.65,0.59,0.12,0.12,0.6,0.3,73,74.0,205.0,1.0,Light Heavyweight
Josh Stansbury,Orthodox,1984-11-19,4,8,0,3.22,0.54,3.54,0.54,0.0,0.0,0.87,1.0,74,74.0,205.0,0.0,Light Heavyweight
Clifford Starks,Orthodox,1981-04-25,13,3,0,1.94,0.33,2.49,0.58,1.94,1.0,0.6,0.0,72,78.0,185.0,6.0,Middleweight
Kalib Starnes,Orthodox,1975-01-06,17,11,1,2.71,0.48,4.43,0.53,1.46,0.33,0.25,0.6,75,74.0,185.0,-1.0,Middleweight
Laureano Staropoli,Orthodox,1993-02-27,9,5,0,3.31,0.34,3.73,0.54,0.83,0.26,0.48,0.0,73,71.0,185.0,-2.0,Middleweight
Damian Stasiak,Orthodox,1990-02-20,10,6,0,1.86,0.36,3.1,0.52,2.64,0.35,0.43,0.6,65,70.0,135.0,5.0,Bantamweight
Dominique Steele,Orthodox,1988-01-27,14,9,0,2.32,0.49,2.42,0.5,2.95,0.42,0.76,0.0,70,74.0,170.0,4.0,Welterweight
Ricky Steele,Orthodox,1988-05-26,6,0,0,4.07,0.7,2.93,0.5,0.0,0.0,0.91,0.0,69,74.0,135.0,5.0,Bantamweight
Kody Steele,Orthodox,1995-04-21,7,1,0,4.44,0.32,7.17,0.52,0.62,0.14,1.0,0.0,69,71.0,155.0,2.0,Lightweight
Steve Steinbeiss,Orthodox,1981-05-05,9,4,0,3.92,0.55,1.86,0.49,0.44,0.5,0.58,0.0,75,75.0,185.0,0.0,Middleweight
Jeremy Stephens,Orthodox,1986-05-25,28,20,0,3.15,0.4,3.14,0.58,1.11,0.38,0.62,0.4,69,71.0,155.0,2.0,Lightweight
Aljamain Sterling,Orthodox,1989-07-31,25,5,0,4.45,0.52,2.21,0.59,2.45,0.3,0.44,0.6,67,71.0,145.0,4.0,Featherweight
Joe Stevenson,Orthodox,1982-06-15,33,16,0,2.05,0.44,2.44,0.6,2.75,0.44,0.39,2.2,67,70.0,145.0,3.0,Featherweight
Maia Stevenson,Orthodox,1982-03-19,6,5,0,1.57,0.54,3.13,0.33,3.91,1.0,0.5,0.0,64,62.0,115.0,-2.0,Flyweight
Darren Stewart,Orthodox,1990-12-30,12,8,0,3.05,0.45,3.29,0.48,1.75,0.45,0.67,0.1,72,74.0,205.0,2.0,Light Heavyweight
Kyle Stewart,Orthodox,1989-01-31,11,3,0,1.41,0.35,2.42,0.43,1.32,0.2,0.6,0.0,72,76.0,170.0,4.0,Welterweight
Navajo Stirling,Orthodox,1997-11-07,8,0,0,6.13,0.52,2.6,0.58,1.15,0.28,0.75,0.0,76,79.0,205.0,3.0,Light Heavyweight
Lazar Stojadinovic,Southpaw,1989-03-22,12,5,0,1.82,0.29,1.97,0.59,0.0,0.0,0.0,0.0,67,68.0,145.0,1.0,Featherweight
Julija Stoliarenko,Orthodox,1993-04-08,11,10,2,2.74,0.38,4.45,0.46,0.78,0.2,0.54,1.4,67,66.0,125.0,-1.0,Flyweight
Dustin Stoltzfus,Orthodox,1991-11-15,16,8,0,3.3,0.45,3.23,0.47,2.08,0.37,0.46,1.1,72,75.0,185.0,3.0,Middleweight
Niklas Stolze,Switch,1992-12-28,12,6,0,2.12,0.48,2.25,0.49,0.66,1.0,0.55,0.7,73,74.0,155.0,1.0,Lightweight
Ken Stone,Southpaw,1982-10-08,11,4,0,3.85,0.49,2.9,0.48,1.24,0.33,0.6,0.6,68,71.0,135.0,3.0,Bantamweight
Rick Story,Southpaw,1984-08-28,19,9,0,3.8,0.41,2.17,0.62,2.53,0.48,0.63,0.9,69,71.0,170.0,2.0,Welterweight
Darko Stosic,Orthodox,1992-02-09,13,4,0,2.61,0.45,4.04,0.58,3.42,0.5,0.83,0.0,72,76.0,205.0,4.0,Light Heavyweight
Sam Stout,Orthodox,1984-04-23,20,12,1,4.17,0.28,4.08,0.57,0.63,0.38,0.77,0.1,69,70.0,155.0,1.0,Lightweight
Jesse Strader,Orthodox,1991-05-29,5,3,0,5.03,0.51,5.28,0.47,3.87,0.57,1.0,0.0,67,70.0,135.0,3.0,Bantamweight
Daniel Straus,Orthodox,1984-07-27,24,7,0,4.76,0.43,2.99,0.57,0.84,0.15,0.81,1.1,67,71.0,145.0,4.0,Featherweight
Sean Strickland,Orthodox,1991-02-27,30,7,0,6.04,0.42,4.57,0.6,0.71,0.64,0.76,0.2,73,76.0,185.0,3.0,Middleweight
Mark Striegl,Southpaw,1988-06-23,18,4,0,1.4,0.45,4.07,0.4,0.0,0.0,0.66,0.0,68,70.0,145.0,2.0,Featherweight
Stefan Struve,Orthodox,1988-02-18,33,13,0,3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7,83,84.0,265.0,1.0,Heavyweight
Tatiana Suarez,Southpaw,1990-12-19,12,1,0,2.95,0.6,1.58,0.45,4.41,0.43,0.8,0.6,65,66.0,115.0,1.0,Flyweight
Lucasz Sudolski,Orthodox,1993-06-15,8,1,0,5.7,0.67,4.89,0.28,0.0,0.0,1.0,0.0,76,75.0,205.0,-1.0,Light Heavyweight
Sulangrangbo,Southpaw,2005-07-17,10,4,0,3.96,0.48,3.2,0.62,0.0,0.0,0.72,0.0,69,66.0,135.0,-3.0,Bantamweight
George Sullivan,Orthodox,1981-03-13,17,7,0,3.53,0.39,2.42,0.57,1.37,0.2,0.38,0.7,72,73.0,170.0,1.0,Welterweight
Justin Sumter,Southpaw,1989-11-16,7,3,0,2.68,0.48,7.64,0.34,2.87,1.0,0.0,0.0,74,80.0,185.0,6.0,Middleweight
Sumudaerji,Southpaw,1996-01-20,19,7,0,4.43,0.5,2.35,0.62,0.67,0.35,0.72,0.5,68,72.0,125.0,4.0,Flyweight
Rama Supandhi,Southpaw,1991-11-07,8,4,0,2.2,0.42,3.53,0.48,1.0,0.11,0.0,0.0,65,66.0,125.0,1.0,Flyweight
Baisangur Susurkaev,Orthodox,2001-01-08,11,0,0,4.56,0.59,3.78,0.53,2.76,0.28,1.0,0.7,74,79.0,185.0,5.0,Middleweight
Louie Sutherland,Orthodox,1994-02-08,10,4,0,2.14,0.6,3.57,0.0,0.0,0.0,0.0,0.0,75,76.0,264.0,1.0,Heavyweight
Daniel Swain,Orthodox,1991-01-30,20,10,1,0.8,0.44,3.2,0.4,0.0,0.0,0.0,6.0,69,70.0,145.0,1.0,Featherweight
Cub Swanson,Orthodox,1983-11-02,30,14,0,4.79,0.51,4.0,0.59,1.01,0.5,0.63,0.4,68,70.0,145.0,2.0,Featherweight
Mike Swick,Orthodox,1979-06-19,15,6,0,2.36,0.37,2.29,0.54,1.06,0.5,0.61,0.6,73,77.0,170.0,4.0,Welterweight
Oumar Sy,Orthodox,1995-11-21,12,1,0,3.67,0.48,1.72,0.7,2.73,0.36,1.0,0.4,76,83.0,205.0,7.0,Light Heavyweight
Klaudia Sygula,Orthodox,1998-12-30,8,2,0,7.27,0.48,5.5,0.56,0.41,0.12,0.4,0.0,68,69.0,135.0,1.0,Bantamweight
Kevin Syler,Switch,1993-07-29,10,1,0,5.6,0.69,4.03,0.48,1.0,0.4,0.77,2.0,69,71.0,155.0,2.0,Lightweight
Tim Sylvia,Orthodox,1976-03-05,31,10,0,4.23,0.41,2.61,0.61,0.11,1.0,0.75,0.1,80,80.0,265.0,0.0,Heavyweight
Kevin Szaflarski,Orthodox,1994-12-30,11,2,0,1.13,0.28,8.07,0.3,0.0,0.0,0.0,0.0,77,77.0,260.0,0.0,Heavyweight
Sebastian Szalay,Orthodox,1994-02-03,10,2,0,4.94,0.41,2.2,0.65,0.51,0.2,0.84,0.0,66,66.0,145.0,0.0,Featherweight
Bartosz Szewczyk,Orthodox,1997-09-18,8,3,1,2.7,0.33,3.52,0.47,0.0,0.0,0.0,0.0,76,73.0,205.0,-3.0,Light Heavyweight
Justin Tafa,Southpaw,1993-12-13,7,5,0,4.05,0.54,5.11,0.47,0.0,0.0,0.53,0.0,72,74.0,264.0,2.0,Heavyweight
Junior Tafa,Orthodox,1996-09-21,6,5,0,3.41,0.51,2.55,0.51,0.0,0.0,0.7,0.0,75,75.0,205.0,0.0,Light Heavyweight
Khalid Taha,Orthodox,1992-02-15,13,5,0,2.64,0.32,4.12,0.46,0.0,0.0,0.61,0.2,65,69.0,135.0,4.0,Bantamweight
Tatsuro Taira,Orthodox,2000-01-27,18,1,0,2.94,0.6,2.44,0.47,3.12,0.46,0.45,1.6,67,70.0,125.0,3.0,Flyweight
Mairbek Taisumov,Orthodox,1988-08-08,27,6,0,2.98,0.39,3.03,0.64,1.34,0.63,0.88,0.0,69,73.0,155.0,4.0,Lightweight
Taiyilake Nueraji,Southpaw,2001-01-12,12,1,0,9.82,0.53,5.01,0.58,1.47,0.33,1.0,0.0,74,75.0,170.0,1.0,Welterweight
Payton Talbott,Switch,1998-09-09,11,1,0,6.62,0.56,3.41,0.46,0.78,0.44,0.77,0.2,70,70.0,135.0,0.0,Bantamweight
Nordine Taleb,Orthodox,1981-06-10,15,7,0,3.66,0.51,2.62,0.66,1.94,0.76,0.73,0.0,73,74.0,170.0,1.0,Welterweight
Murtaza Talha,Orthodox,1996-07-10,7,2,0,4.29,0.57,7.09,0.31,0.0,0.0,1.0,0.0,72,74.0,205.0,2.0,Light Heavyweight
Akitoshi Tamura,Orthodox,1980-05-31,21,18,2,3.73,0.43,1.94,0.78,0.0,0.0,0.2,1.0,69,70.0,135.0,1.0,Bantamweight
Issei Tamura,Orthodox,1984-03-12,10,8,0,1.89,0.53,4.58,0.44,0.92,0.25,0.33,0.0,65,63.0,135.0,-2.0,Bantamweight
Michinori Tanaka,Orthodox,1990-10-04,11,3,0,1.97,0.37,1.99,0.5,2.4,0.38,0.43,0.2,65,67.0,135.0,2.0,Bantamweight
Evan Tanner,Orthodox,1971-02-11,32,8,0,3.05,0.59,2.64,0.56,2.55,0.43,0.25,1.3,72,74.0,185.0,2.0,Middleweight
Kasey Tanner,Orthodox,1992-01-11,6,1,0,6.6,0.5,6.67,0.63,2.0,0.33,0.0,0.0,67,69.0,135.0,2.0,Bantamweight
Otari Tanzilovi,Orthodox,1998-04-09,9,1,0,4.53,0.72,3.33,0.55,4.0,0.25,0.0,0.0,70,70.0,135.0,0.0,Bantamweight
Manny Tapia,Orthodox,1981-03-14,12,14,1,2.69,0.21,4.74,0.58,0.49,0.4,0.66,0.2,65,67.0,135.0,2.0,Bantamweight
Regina Tarin,Southpaw,2004-10-19,8,0,0,7.6,0.47,7.0,0.57,1.0,0.33,0.5,0.0,67,66.0,135.0,-1.0,Bantamweight
Miesha Tate,Orthodox,1986-08-18,20,10,0,2.62,0.44,3.05,0.51,1.97,0.3,0.56,1.2,66,65.0,135.0,-1.0,Bantamweight
Aaron Tau,Switch,1993-08-21,11,1,0,4.85,0.44,5.0,0.6,0.89,0.18,0.64,0.0,64,66.0,125.0,2.0,Flyweight
Deividas Taurosevicius,Southpaw,1977-08-28,17,5,0,2.13,0.43,1.82,0.59,2.0,0.28,0.5,0.3,69,68.0,145.0,-1.0,Featherweight
